owner,source,kind,language,url,status,classification,finalUrl,redirected,mime,error
en:207,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=147,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=147,false,text/html; charset=utf-8,
en:211,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=211,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=211,false,text/html; charset=utf-8,
en:211,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2016/Mexico.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2016/Mexico.pdf,false,application/pdf,
en:211,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=145,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=145,false,text/html; charset=utf-8,
en:215,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=215,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=215,false,text/html; charset=utf-8,
en:215,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2016/vwys.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2016/vwys.pdf,false,application/pdf,
en:215,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=147,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=147,false,text/html; charset=utf-8,
en:233,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=233,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=233,false,text/html; charset=utf-8,
en:233,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/vwys0412.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/vwys0412.pdf,false,application/pdf,
en:237,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=237,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=237,false,text/html; charset=utf-8,
en:237,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/OS2016_Mexico.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/OS2016_Mexico.pdf,false,application/pdf,
en:239,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=239,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=239,false,text/html; charset=utf-8,
en:239,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/marketintelligence.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/marketintelligence.pdf,false,application/pdf,
en:239,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=141,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=141,false,text/html; charset=utf-8,
en:241,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=241,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=241,false,text/html; charset=utf-8,
en:241,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/North_American_Regional_Forum_News_Sept_2015.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/North_American_Regional_Forum_News_Sept_2015.pdf,false,application/pdf,
en:241,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=141,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=141,false,text/html; charset=utf-8,
en:243,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=243,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=243,false,text/html; charset=utf-8,
en:243,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/classactions.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/classactions.pdf,false,application/pdf,
en:243,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=148,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=148,false,text/html; charset=utf-8,
en:247,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=247,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=247,false,text/html; charset=utf-8,
en:247,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/Mexico_Overview.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/Mexico_Overview.pdf,false,application/pdf,
en:247,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=145,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=145,false,text/html; charset=utf-8,
en:249,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=249,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=249,false,text/html; charset=utf-8,
en:249,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/Mexico.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/Mexico.pdf,false,application/pdf,
en:249,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=141,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=141,false,text/html; charset=utf-8,
en:251,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=251,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=251,false,text/html; charset=utf-8,
en:251,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/Mexico-Overviewsep15.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/Mexico-Overviewsep15.pdf,false,application/pdf,
en:251,official,content-link,en,https://www.vonwobeser.com/index.php/lawyer?l=149,200,correcto,https://www.vonwobeser.com/index.php/lawyer?l=149,false,text/html; charset=utf-8,
en:259,official,official-detail,en,https://www.vonwobeser.com/index.php/publication?p_id=259,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=259,false,text/html; charset=utf-8,
en:259,official,pdf,en,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/FINANCIER.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/PDF_articles/2015/FINANCIER.pdf,false,application/pdf,
