owner,source,kind,language,url,status,classification,finalUrl,redirected,mime,error
4ffb1ef8-c8d0-41c9-a1b0-b900bcb61355:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1809.html,0,inaccesible,,false,,fetch failed
59a1de11-dc6c-4fcf-b9ca-51fad251a9ea:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1808.html,0,inaccesible,,false,,fetch failed
59a1de11-dc6c-4fcf-b9ca-51fad251a9ea:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1808.html,0,inaccesible,,false,,fetch failed
ed6f3c93-30d1-46ea-a887-00990870a206:es,project-public,public-source-cta,es,https://www.vonwobeser.com/index.php/publicacion/p_id-1807.html,0,inaccesible,,false,,fetch failed
ed6f3c93-30d1-46ea-a887-00990870a206:en,project-public,public-source-cta,en,https://www.vonwobeser.com/index.php/publicacion/p_id-1807.html,0,inaccesible,,false,,fetch failed
b05e261e-8879-4144-8f29-8b7c504711c4:es,project-public,public-source-cta,es,https://www.aranzadilaley.es/tienda/todo-penal-internacional,200,correcto,https://www.aranzadilaley.es/tienda/todo-penal-internacional,false,text/html; charset=utf-8,
b05e261e-8879-4144-8f29-8b7c504711c4:en,project-public,public-source-cta,en,https://www.aranzadilaley.es/tienda/todo-penal-internacional,200,correcto,https://www.aranzadilaley.es/tienda/todo-penal-internacional,false,text/html; charset=utf-8,
b5bf8684-0e24-4c06-8762-70f8934740db:es,project-public,public-source-cta,es,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/la-evasion-fiscal-una-forma-de-corrupcion,200,correcto,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/la-evasion-fiscal-una-forma-de-corrupcion,false,text/html; charset=UTF-8,
b5bf8684-0e24-4c06-8762-70f8934740db:en,project-public,public-source-cta,en,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/la-evasion-fiscal-una-forma-de-corrupcion,200,correcto,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/la-evasion-fiscal-una-forma-de-corrupcion,false,text/html; charset=UTF-8,
6a802bb3-cd6f-4171-b903-2fbfc7b68ab0:es,project-public,public-source-cta,es,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/los-jueces-deben-pensar-en-las-victimas,200,correcto,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/los-jueces-deben-pensar-en-las-victimas,false,text/html; charset=UTF-8,
6a802bb3-cd6f-4171-b903-2fbfc7b68ab0:en,project-public,public-source-cta,en,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/los-jueces-deben-pensar-en-las-victimas,200,correcto,https://www.milenio.com/opinion/ricardo-cacho/columna-ricardo-cacho/los-jueces-deben-pensar-en-las-victimas,false,text/html; charset=UTF-8,
2c75ee48-2c81-4d50-808e-e1359764b201:es,project-public,public-source-cta,es,https://www.milenio.com/politica/lee-firmas-milenio-jueves-16-julio,200,correcto,https://www.milenio.com/politica/lee-firmas-milenio-jueves-16-julio,false,text/html; charset=UTF-8,
2c75ee48-2c81-4d50-808e-e1359764b201:en,project-public,public-source-cta,en,https://www.milenio.com/politica/lee-firmas-milenio-jueves-16-julio,200,correcto,https://www.milenio.com/politica/lee-firmas-milenio-jueves-16-julio,false,text/html; charset=UTF-8,
9f2576b3-73af-4e76-8130-6d1182263332:es,project-public,public-source-cta,es,https://eljuegodelacorte.nexos.com.mx/que-culpa-tiene-el-tigre-tono-las-nuevas-reglas-de-publicidad-en-alimentos-preenvasados/,200,correcto,https://eljuegodelacorte.nexos.com.mx/que-culpa-tiene-el-tigre-tono-las-nuevas-reglas-de-publicidad-en-alimentos-preenvasados/,false,text/html; charset=UTF-8,
9f2576b3-73af-4e76-8130-6d1182263332:en,project-public,public-source-cta,en,https://eljuegodelacorte.nexos.com.mx/que-culpa-tiene-el-tigre-tono-las-nuevas-reglas-de-publicidad-en-alimentos-preenvasados/,200,correcto,https://eljuegodelacorte.nexos.com.mx/que-culpa-tiene-el-tigre-tono-las-nuevas-reglas-de-publicidad-en-alimentos-preenvasados/,false,text/html; charset=UTF-8,
948d9ed0-b5c0-4aa3-b2f9-46f2c3084d72:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ENG-Pt4-OK.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ENG-Pt4-OK.pdf,false,application/pdf,
948d9ed0-b5c0-4aa3-b2f9-46f2c3084d72:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ESP-Pt4-OK.pdf,206,correcto,http://localhost:5050/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ESP-Pt4-OK.pdf,false,application/pdf,
948d9ed0-b5c0-4aa3-b2f9-46f2c3084d72:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ENG-Pt4-OK.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ENG-Pt4-OK.pdf,false,application/pdf,
948d9ed0-b5c0-4aa3-b2f9-46f2c3084d72:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ESP-Pt4-OK.pdf,206,correcto,http://localhost:5050/images/PDF_news/2023/ESG4/23_05_22_MINERIA_ESG_ESP-Pt4-OK.pdf,false,application/pdf,
058a4313-3a7c-415d-91f0-a79623555e3c:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF_news/2023/vision_combate.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2023/vision_combate.pdf,false,application/pdf,
058a4313-3a7c-415d-91f0-a79623555e3c:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF_news/2023/vision_combate.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2023/vision_combate.pdf,false,application/pdf,
b3da086e-1dd7-43c3-a148-a94bd75d44b9:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ENG.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2022/22_08_11_ESG_En-la-Industria-Minera-Mexicana-3_ENG.pdf,false,application/pdf,
